Province;Municipality;Barangay;storm_surge min;storm_surge max;average storm surge;Rainfall;Rainintensity;2010 mangrove cove;Population;Households;Land area (has);Urbanization (0 rural 1 urban);Income (IRA, 2013);Dead;Partially Damaged Houses;Totally Damaged Houses;Structures (o absent 1 present);Average Elevation;Avg nearest Distance of Mangrove to the Village center (meters)
Bohol;Candijay;Cogtong;0,1;0,2;0,1;0,833333;4,030612;63,2482;2492;473;388;1; 1.524.134   ;0;0;0;0;101,137694;0,00186
Bohol;Candijay;Panadtaran;0,1;0,2;0,1;0,833333;4,030612;319,629;1002;195;759;0; 979.373   ;0;0;0;0;100,546774;0
Bohol;Candijay;Panas;0,1;0,2;0,1;0,833333;4,030612;281,413;1477;264;727;0; 1.153.038   ;0;0;0;0;101,137694;0,00186
Bohol;Clarin;Nahawan;0,1;0,2;0,1;0,2;2,588235;9,14875;2208;475;304,86;1; 1.420.300   ;0;0;0;0;84,26979;0,005371
Bohol;Clarin;Tangaran;0,1;0,2;0,1;0,2;2,588235;6,343112;850;168;90,39;0; 923.800   ;0;0;0;0;77,191091;0,00295
Bohol;Inabanga;Badiang;0,1;0,2;0,1;0,2;2,588235;51,9455;1083;224;182,09;0; 1.008.988   ;0;0;0;0;91,978709;0,003804
Bohol;Inabanga;Bugang;0,1;0,2;0,1;0,2;2,588235;267,198;696;144;183,39;0; 867.496   ;0;0;0;1;93,416223;0
Bohol;Inabanga;Cagawasan;0,1;0,2;0,1;0,2;2,588235;37,6134;1290;266;191,47;0; 1.084.669   ;0;0;0;0;96,07805;0,000412
Bohol;Inabanga;Cogon;0,1;0,2;0,1;0,2;2,588235;9,230864;865;179;48,19;0; 929.284   ;0;0;0;0;91,453874;0,001402
Bohol;Inabanga;Fatima;0,1;0,2;0,1;0,2;2,588235;22,8252;721;149;55,3;0; 876.636   ;0;0;0;0;100,230666;0,002354
Bohol;Inabanga;Lawis;0,1;0,2;0,1;0,2;2,588235;27,5064;1389;287;59,88;0; 1.120.865   ;0;0;0;0;68,461758;0,000649
Bohol;Inabanga;Lutao;0,1;0,2;0,1;0,2;2,588235;61,2693;1173;242;194,39;0; 1.041.893   ;0;0;0;0;92,153746;0,002855
Bohol;Inabanga;Poblacion;0,1;0,2;0,1;0,2;2,588235;7,365313;930;192;35,73;1; 953.049   ;0;0;0;1;88,646012;0,000129
Bohol;Inabanga;San Isidro;0,1;0,2;0,1;0,2;2,588235;93,8296;992;205;110,2;0; 975.717   ;0;0;0;0;100,282254;0,00139
Bohol;Inabanga;Santo Niño;0,1;0,2;0,1;0,2;2,588235;14,1845;799;165;17,63;0; 905.154   ;0;0;0;0;84,340134;0,000647
Bohol;Inabanga;Santo Rosario;0,1;0,2;0,1;0,2;2,588235;45,7728;997;206;104,99;0; 977.545   ;0;0;0;0;93,67587;0
Bohol;Inabanga;Tungod;0,1;0,2;0,1;0,2;2,588235;5,421297;1089;225;69,02;0; 1.011.181   ;0;0;0;0;102,8;0,004098
Bohol;Inabanga;Ubujan;0,1;0,2;0,1;0,2;2,588235;81,5724;1064;220;281,37;0; 1.002.041   ;0;0;0;0;94,444734;0,002876
Bohol;Inabanga;U-Og;0,1;0,2;0,1;0,2;2,588235;56,4545;1112;229;152,36;0; 1.019.590   ;0;0;0;0;95,399127;0,002565
Bohol;Jetafe;Alumar;0,1;0,2;0,1;0,807407;2,588235;63,6817;935;191;351,54;0; 954.877   ;0;0;0;0;93,451582;0,001072
Bohol;Jetafe;Banacon;0,1;0,2;0,1;0,807407;2,588235;87,476;1304;266;1004,04;0; 1.089.788   ;0;0;0;0;93,505206;0
Bohol;Jetafe;Campao Occidental;0,1;0,2;0,1;0,2;2,588235;2,459781;418;86;103,08;0; 765.856   ;0;0;0;0;99,280463;0,002209
Bohol;Jetafe;Carlos P. Garcia;0,1;0,2;0,1;0,807407;2,588235;8,423449;858;175;210,51;0; 926.725   ;0;0;0;0;95,593346;0,004981
Bohol;Jetafe;Corte Baud;0,1;0,2;0,1;0,2;2,588235;21,4689;704;144;165,21;0; 870.421   ;0;0;0;0;99,901186;0,008167
Bohol;Jetafe;Handumon;0,1;0,2;0,1;0,807407;2,588235;35,5251;983;200;501,03;0; 972.426   ;0;0;0;0;87,904294;0
Bohol;Jetafe;Jagoliao;0,1;0,2;0,1;0,636538;2,588235;185,214;1478;301;771;0; 1.153.404   ;0;0;0;0;93,505206;0,001104
Bohol;Jetafe;Jandayan Sur;0,1;0,2;0,1;0,807407;2,588235;15,0479;1360;277;501,03;0; 1.110.262   ;0;0;0;0;92,021711;0,002194
Bohol;Jetafe;Mahanay;0,1;0,2;0,1;0,807407;2,588235;104,167;484;99;826,49;0; 789.987   ;0;0;0;0;94,148049;0
Bohol;Jetafe;Salog;0,1;0,2;0,1;0,807407;2,588235;42,7354;1036;211;209,06;0; 991.804   ;0;0;0;0;95,413407;0,002548
